vid_id,segment1,segment2,segment3,segment4,segment5
XwFj,food:0.436,cooking:0.323,dish:0.189,dessert:0.034,concert:0.018
a6Fj,sports-car:0.362,racing:0.351,motorsport:0.130,drifting:0.080,car:0.078
paFj,personal-computer:0.368,computer-keyboard:0.246,laptop:0.239,computer:0.088,mobile-phone:0.059
GQFj,car:0.522,camera:0.159,engine:0.137,concert:0.105,manicure:0.077
gGFj,shoe:0.425,sneakers:0.287,nike-inc:0.220,concert:0.039,car:0.029
GKFj,concert:0.337,mobile-phone:0.207,dance:0.165,smartphone:0.152,food:0.139
QbFj,concert:0.542,outdoor-recreation:0.383,hiking:0.032,dance:0.023,cycling:0.021
mJFj,cycling:0.446,bicycle:0.432,dance:0.065,concert:0.030,road-bicycle:0.027
F2Fj,truck:0.586,car:0.260,train:0.077,pickup-truck:0.045,house:0.032
F1Fj,concert:0.397,house:0.270,car:0.125,basketball:0.112,dance:0.096
8TFj,racing:0.324,motorsport:0.301,sports-car:0.200,rallying:0.100,drifting:0.075
dBFj,food:0.326,disc-jockey:0.285,personal-computer:0.177,cooking:0.124,mobile-phone:0.088
r192,concert:0.582,orchestra:0.323,cello:0.046,piano:0.030,saxophone:0.019
zN92,flute:0.786,saxophone:0.076,dance:0.057,concert:0.055,car:0.025
BW92,car:0.344,food:0.340,dress:0.128,concert:0.118,association-football:0.070
su92,fish:0.265,concert:0.257,car:0.189,pet:0.163,association-football:0.127
3J92,motorsport:0.314,car:0.250,cycling:0.176,bicycle:0.150,racing:0.110
qd92,gardening:0.586,garden:0.221,food:0.089,concert:0.077,tree:0.027
Fa92,eye-shadow:0.275,lipstick:0.220,mascara:0.219,manicure:0.150,concert:0.136
zO92,pet:0.542,cat:0.363,concert:0.060,dance:0.019,piano:0.017
x892,motorcycle:0.473,car:0.251,motorcycling:0.158,scooter:0.080,engine:0.038
8E92,food:0.348,car:0.300,dance:0.158,hairstyle:0.138,cooking:0.056
9992,festival:0.548,dance:0.178,parade:0.137,concert:0.088,carnival:0.049
9M92,car:0.329,sports-car:0.282,motorsport:0.187,racing:0.184,coupé:0.017
Y692,basketball:0.557,slam-dunk:0.420,marching-band:0.011,food:0.006,dance:0.006
u0M0,room:0.437,house:0.280,dance:0.147,living-room:0.073,bedroom:0.063
gpM0,food:0.463,cooking:0.288,dish:0.149,dessert:0.057,concert:0.043
U0M0,concert:0.428,food:0.219,dance:0.171,drawing:0.102,pet:0.080
suM0,train:0.328,locomotive:0.227,car:0.181,railroad-car:0.179,association-football:0.085
NAM0,pet:0.560,dressage:0.159,outdoor-recreation:0.117,jumping:0.096,concert:0.068
sjM0,association-football:0.409,car:0.273,concert:0.145,food:0.091,racing:0.082
1ZM0,food:0.271,pet:0.230,concert:0.226,dance:0.156,car:0.117
6bM0,concert:0.427,mobile-phone:0.266,smartphone:0.138,car:0.096,iphone:0.073
zAM0,car:0.516,tractor:0.217,truck:0.189,train:0.040,food:0.038
2iM0,boat:0.397,ship:0.384,concert:0.161,fishing:0.046,car:0.012
9dM0,food:0.317,car:0.247,house:0.173,association-football:0.135,pet:0.128
sIM0,food:0.245,dish:0.226,cooking:0.223,vegetable:0.163,:0.144
xNUU,mobile-phone:0.374,smartphone:0.311,iphone:0.175,personal-computer:0.080,concert:0.061
MrUU,concert:0.519,association-football:0.208,pony:0.101,dance:0.100,car:0.072
qzUU,choir:0.593,dance:0.115,personal-computer:0.113,concert:0.108,association-football:0.071
Z2UU,association-football:0.296,basketball:0.277,tennis:0.181,car:0.148,boxing:0.099
